Time Stamp,PM2.5,PM10,CO,NO2,SO2,Ozone
2023-01-01 00:00:00,148.0,266.0,2.7,83.94999999999999,15.925,8.3
2023-01-01 01:00:00,145.0,257.0,2.25,69.975,13.05,13.5
2023-01-01 02:00:00,158.66666666666666,238.75,2.4,63.95,12.25,8.65
2023-01-01 03:00:00,171.0,248.0,2.7,58.95,14.0,8.075
2023-01-01 04:00:00,132.66666666666666,204.25,2.9333333333333336,62.9,15.65,7.774999999999999
2023-01-01 05:00:00,155.25,244.75,2.9,67.275,16.966666666666665,8.4
2023-01-01 06:00:00,175.25,288.5,2.575,67.775,15.525,8.225
2023-01-01 07:00:00,150.5,249.5,2.35,73.55,14.25,8.475000000000001
2023-01-01 08:00:00,139.0,245.25,1.9333333333333331,80.525,11.575,7.899999999999999
2023-01-01 09:00:00,126.75,252.5,1.825,97.725,9.8,8.35
2023-01-01 10:00:00,151.5,271.0,1.7,117.725,9.7,9.275
2023-01-01 11:00:00,141.5,257.0,1.55,109.775,8.1,11.85
2023-01-01 12:00:00,123.75,228.25,1.8,101.025,12.35,18.275
2023-01-01 13:00:00,114.75,229.5,1.925,87.125,13.2,24.375
2023-01-01 14:00:00,96.75,196.75,2.325,134.225,13.55,18.7
2023-01-01 15:00:00,91.0,208.75,1.85,120.625,11.45,16.175
2023-01-01 16:00:00,91.75,224.25,1.6,98.225,11.2,17.475
2023-01-01 17:00:00,84.25,206.25,1.725,112.075,10.166666666666666,11.175
2023-01-01 18:00:00,93.5,238.0,2.5,120.625,12.85,8.25
2023-01-01 19:00:00,144.0,386.25,3.55,123.975,16.625,8.625
2023-01-01 20:00:00,202.0,451.75,3.1,121.1,18.575,27.15
2023-01-01 21:00:00,250.0,500.75,3.8,119.1,21.7,23.375
2023-01-01 22:00:00,336.5,620.25,4.45,91.625,22.2,21.475
2023-01-01 23:00:00,414.25,719.25,3.35,92.3,24.633333333333336,16.975
2023-01-02 00:00:00,333.75,578.0,1.4,65.925,17.075,9.425
2023-01-02 01:00:00,268.5,401.5,1.1,53.175,11.375,13.5
2023-01-02 02:00:00,261.25,384.25,0.6499999999999999,48.400000000000006,11.6,8.7
2023-01-02 03:00:00,246.5,346.25,0.825,51.675,11.375,9.525
2023-01-02 04:00:00,247.0,351.0,1.8,51.4,14.4,17.975
2023-01-02 05:00:00,305.25,451.25,1.775,51.65,15.9,18.575
2023-01-02 06:00:00,283.75,447.5,1.675,56.675,14.5,10.25
2023-01-02 07:00:00,238.0,371.25,1.825,60.65,12.05,9.475
2023-01-02 08:00:00,252.75,385.25,2.1,67.475,12.825,8.875
2023-01-02 09:00:00,263.25,429.5,2.325,74.125,13.425,11.025
2023-01-02 10:00:00,250.75,442.0,2.2,73.25,14.325,14.55
2023-01-02 11:00:00,275.5,444.75,2.15,85.9,14.433333333333332,14.675
2023-01-02 12:00:00,270.0,462.0,1.9333333333333331,97.95,18.225,14.825
2023-01-02 13:00:00,226.75,326.0,1.95,79.4,16.8,14.575
2023-01-02 14:00:00,189.25,338.5,1.925,88.1,17.275,14.825
2023-01-02 15:00:00,192.75,364.0,2.075,99.15,16.7,11.6
2023-01-02 16:00:00,185.0,334.75,2.0,98.825,16.575,9.55
2023-01-02 17:00:00,190.0,349.0,2.0,98.525,15.7,8.875
2023-01-02 18:00:00,192.0,339.5,2.2,94.475,13.525,8.575
2023-01-02 19:00:00,210.5,355.75,2.075,66.4,12.75,8.025
2023-01-02 20:00:00,221.0,329.0,2.1666666666666665,74.69999999999999,12.95,7.75
2023-01-02 21:00:00,247.5,350.5,2.675,74.35,13.875,8.35
2023-01-02 22:00:00,280.5,395.75,2.675,82.575,16.3,7.725
2023-01-02 23:00:00,261.5,367.75,2.85,74.525,14.866666666666667,8.1
2023-01-03 00:00:00,291.5,400.75,2.833333333333333,70.4,18.925,8.375
2023-01-03 01:00:00,350.75,475.5,2.475,62.45,21.4,11.9
2023-01-03 02:00:00,341.75,462.75,2.0,47.3,20.75,9.8
2023-01-03 03:00:00,303.0,415.0,1.175,40.4,24.575,9.95
2023-01-03 04:00:00,279.75,388.75,1.7333333333333334,34.0,32.525,9.575
2023-01-03 05:00:00,252.25,353.5,1.8,46.7,30.266666666666666,8.925
2023-01-03 06:00:00,242.0,344.75,2.25,55.725,16.775,8.625
2023-01-03 07:00:00,233.0,333.5,2.5,60.775000000000006,11.525,8.3
2023-01-03 08:00:00,224.75,356.0,2.1,70.2,10.525,8.325
2023-01-03 09:00:00,231.25,428.5,2.0,77.2,8.7,8.5
2023-01-03 10:00:00,244.0,453.5,1.875,62.2,5.725,9.075
2023-01-03 11:00:00,247.5,374.5,2.175,74.85,6.775,10.25
2023-01-03 12:00:00,260.5,414.5,1.9666666666666668,89.0,5.775,12.2
2023-01-03 13:00:00,266.5,425.75,1.975,99.725,7.075,13.875
2023-01-03 14:00:00,266.75,446.75,2.075,114.6,4.3,15.9
2023-01-03 15:00:00,279.0,476.0,2.025,98.45,5.550000000000001,15.225
2023-01-03 16:00:00,271.5,470.5,1.8333333333333333,94.0,5.0,11.75
2023-01-03 17:00:00,256.75,434.0,1.5,86.1,5.0,9.2
2023-01-03 18:00:00,224.75,371.0,1.475,73.55,9.875,8.3
2023-01-03 19:00:00,230.25,377.25,1.525,75.85,14.2,8.175
2023-01-03 20:00:00,272.5,439.25,2.4,86.45,16.7,8.175
2023-01-03 21:00:00,314.5,484.0,2.45,74.475,16.05,8.2
2023-01-03 22:00:00,307.0,459.75,2.225,68.175,15.0,8.325
2023-01-03 23:00:00,311.5,433.5,2.85,67.125,13.333333333333334,8.55
2023-01-04 00:00:00,336.75,447.5,2.6666666666666665,68.05,15.8,8.45
2023-01-04 01:00:00,289.25,405.25,1.85,56.825,17.05,12.7
2023-01-04 02:00:00,288.25,447.0,1.7000000000000002,52.0,14.25,8.925
2023-01-04 03:00:00,287.5,456.75,1.825,43.3,14.775,9.425
2023-01-04 04:00:00,233.25,361.5,1.8,39.025,14.175,9.575
2023-01-04 05:00:00,187.5,280.25,2.125,49.225,13.5,9.125
