Time Stamp,PM2.5,PM10,CO,NO2,SO2,Ozone
2022-01-01 00:00:00,214.15,442.1,1.99,93.06,1.71,3.32
2022-01-01 01:00:00,231.55,462.35,2.05,89.38,1.63,3.2
2022-01-01 02:00:00,256.02,488.02,1.68,89.12,1.54,3.02
2022-01-01 03:00:00,231.58,447.7,1.36,90.58,3.04,3.08
2022-01-01 04:00:00,189.02,418.9,1.04,91.4,2.42,3.0
2022-01-01 05:00:00,166.48,382.9,0.81,90.88,3.37,3.09
2022-01-01 06:00:00,148.65,360.48,0.98,82.34,3.53,3.16
2022-01-01 07:00:00,144.6,338.98,0.64,76.97,4.1,3.17
2022-01-01 08:00:00,170.62,335.3,0.68,121.63,3.29,3.46
2022-01-01 09:00:00,188.55,372.0,0.65,173.49,2.17,3.9
2022-01-01 10:00:00,160.75,418.8,0.49,171.8,,4.38
2022-01-01 11:00:00,,20.0,,,1.63,5.54
2022-01-01 12:00:00,192.4,271.8,1.65,,6.13,12.19
2022-01-01 13:00:00,139.3,356.6,0.7,,5.87,
2022-01-01 14:00:00,130.52,310.45,0.37,81.11,5.51,18.58
2022-01-01 15:00:00,116.75,251.8,0.26,72.21,4.04,17.94
2022-01-01 16:00:00,115.2,247.77,0.33,67.16,2.24,15.87
2022-01-01 17:00:00,69.53,238.08,0.45,68.02,1.64,8.62
2022-01-01 18:00:00,122.55,248.75,0.56,74.11,1.17,6.51
2022-01-01 19:00:00,124.3,321.2,0.96,86.74,2.31,5.84
2022-01-01 20:00:00,152.93,394.3,1.67,103.29,4.25,5.94
2022-01-01 21:00:00,204.15,455.03,2.38,115.5,6.68,5.91
2022-01-01 22:00:00,221.35,495.38,2.99,132.86,9.98,5.81
2022-01-01 23:00:00,225.67,520.6,3.18,144.0,11.57,5.85
2022-01-02 00:00:00,306.27,589.95,3.7,157.26,0.72,5.87
2022-01-02 01:00:00,258.65,585.02,3.4,164.77,0.66,5.72
2022-01-02 02:00:00,258.9,532.2,3.07,160.56,0.66,5.83
2022-01-02 03:00:00,250.23,501.35,2.61,145.22,0.66,5.71
2022-01-02 04:00:00,218.88,472.58,2.19,127.48,0.69,5.9
2022-01-02 05:00:00,223.38,420.15,1.71,129.48,0.66,5.94
2022-01-02 06:00:00,255.9,490.72,1.22,140.52,0.76,6.18
2022-01-02 07:00:00,218.2,487.55,0.75,117.6,1.3,6.25
2022-01-02 08:00:00,252.0,451.18,1.46,109.98,3.12,6.4
2022-01-02 09:00:00,234.65,469.58,1.15,139.82,4.61,7.08
2022-01-02 10:00:00,238.98,496.55,1.01,152.35,8.26,7.59
2022-01-02 11:00:00,186.05,504.28,1.26,132.65,73.62,8.44
2022-01-02 12:00:00,151.5,476.98,0.89,120.38,58.14,11.89
2022-01-02 13:00:00,146.72,392.55,0.59,92.74,18.78,14.17
2022-01-02 14:00:00,124.65,326.4,1.15,78.86,9.02,13.01
2022-01-02 15:00:00,96.28,281.3,1.7,72.22,3.58,13.62
2022-01-02 16:00:00,86.93,246.35,0.86,64.24,12.5,13.94
2022-01-02 17:00:00,104.35,224.95,0.83,70.53,9.57,10.64
2022-01-02 18:00:00,97.8,204.73,1.05,74.97,5.14,6.82
