Time Stamp,PM2.5,PM10,CO,NO2,SO2,Ozone
2021-01-01 00:00:00,391.5,489.75,3.25,51.35,11.15,6.68
2021-01-01 01:00:00,431.25,515.0,3.38,59.42,11.85,6.7
2021-01-01 02:00:00,467.25,540.5,3.8,54.3,13.6,5.25
2021-01-01 03:00:00,509.75,585.5,4.1,50.65,13.85,5.75
2021-01-01 04:00:00,552.0,641.5,4.32,49.62,12.62,5.78
2021-01-01 05:00:00,602.0,687.25,4.38,39.22,13.8,5.3
2021-01-01 06:00:00,601.25,681.25,4.78,40.98,16.45,5.32
2021-01-01 07:00:00,578.5,666.0,5.1,46.2,19.58,5.3
2021-01-01 08:00:00,562.5,656.75,4.53,55.82,12.7,5.65
2021-01-01 09:00:00,515.5,655.25,3.22,129.93,8.85,4.7
2021-01-01 10:00:00,441.25,606.75,1.9,183.6,6.88,14.4
2021-01-01 11:00:00,392.5,518.5,0.92,111.18,17.9,55.03
2021-01-01 12:00:00,322.5,418.5,0.78,93.35,14.78,95.15
2021-01-01 13:00:00,288.0,393.0,0.65,83.9,12.1,108.95
2021-01-01 14:00:00,,,,,,
2021-01-01 15:00:00,,,,,,
2021-01-01 16:00:00,288.0,393.0,0.0,67.6,16.8,60.32
2021-01-01 17:00:00,178.0,298.0,0.98,79.38,12.32,59.05
2021-01-01 18:00:00,188.75,309.0,1.75,113.78,13.6,14.12
2021-01-01 19:00:00,245.75,385.5,2.88,118.57,15.18,5.03
2021-01-01 20:00:00,329.0,514.75,3.02,116.92,10.8,5.25
2021-01-01 21:00:00,368.5,517.75,3.1,113.28,10.95,5.18
2021-01-01 22:00:00,418.25,546.0,3.12,109.3,11.45,5.1
2021-01-01 23:00:00,464.5,574.0,3.5,105.0,12.68,4.57
2021-01-02 00:00:00,491.75,586.5,,97.15,14.85,4.7
2021-01-02 01:00:00,473.0,574.5,,84.82,14.4,6.1
2021-01-02 02:00:00,437.0,508.75,,84.6,12.0,3.75
2021-01-02 03:00:00,370.25,423.25,,76.55,11.55,3.42
2021-01-02 04:00:00,357.5,395.25,,80.0,7.18,3.3
2021-01-02 05:00:00,349.5,398.0,,77.03,6.35,2.78
2021-01-02 06:00:00,342.75,400.25,,75.15,10.07,4.58
2021-01-02 07:00:00,356.5,420.25,,79.88,9.32,3.7
2021-01-02 08:00:00,361.5,431.75,,70.9,10.4,10.5
2021-01-02 09:00:00,331.0,395.5,,69.15,8.93,16.48
2021-01-02 10:00:00,281.25,319.25,,88.72,8.3,9.35
2021-01-02 11:00:00,344.5,392.75,1.8,95.28,9.45,11.58
2021-01-02 12:00:00,362.0,425.0,1.65,97.2,13.18,27.5
2021-01-02 13:00:00,330.25,406.25,1.02,73.35,16.25,62.9
2021-01-02 14:00:00,211.0,310.0,0.72,56.12,16.15,79.5
2021-01-02 15:00:00,166.5,276.5,0.78,60.9,16.65,78.75
2021-01-02 16:00:00,171.5,304.0,0.9,76.22,13.27,52.78
2021-01-02 17:00:00,190.75,348.75,1.38,104.42,12.02,18.7
2021-01-02 18:00:00,219.25,375.25,1.4,98.93,10.82,13.58
2021-01-02 19:00:00,230.75,345.0,1.62,94.38,9.4,9.7
2021-01-02 20:00:00,252.0,344.25,1.67,83.68,11.0,7.28
2021-01-02 21:00:00,270.0,379.75,2.03,82.0,10.68,5.75
2021-01-02 22:00:00,252.75,363.25,1.4,76.6,10.38,6.6
2021-01-02 23:00:00,223.5,293.25,1.1,70.45,10.0,6.88
2021-01-03 00:00:00,204.75,270.0,0.85,69.72,10.98,9.5
2021-01-03 01:00:00,191.5,246.25,0.8,69.05,9.95,3.6
2021-01-03 02:00:00,205.25,257.5,0.9,58.1,9.0,6.8
2021-01-03 03:00:00,232.75,272.75,0.98,61.98,8.32,5.75
2021-01-03 04:00:00,256.5,300.5,1.02,63.42,9.7,3.12
2021-01-03 05:00:00,248.75,291.25,1.15,65.3,14.18,5.7
2021-01-03 06:00:00,254.0,309.75,1.25,58.5,15.25,5.68
2021-01-03 07:00:00,262.75,311.0,1.08,57.62,11.28,3.4
2021-01-03 08:00:00,215.75,240.0,0.75,55.3,13.08,13.22
2021-01-03 09:00:00,150.75,165.5,0.72,63.9,11.42,14.92
2021-01-03 10:00:00,134.25,157.25,0.85,60.5,12.45,13.78
2021-01-03 11:00:00,147.25,177.0,0.88,59.82,12.6,15.48
2021-01-03 12:00:00,133.25,155.5,0.7,50.95,11.5,25.18
2021-01-03 13:00:00,117.5,136.75,0.72,47.1,11.28,24.5
2021-01-03 14:00:00,117.0,133.5,0.7,47.65,11.45,27.1
2021-01-03 15:00:00,95.25,110.25,0.57,42.72,12.42,32.92
2021-01-03 16:00:00,69.25,83.5,0.5,46.9,12.8,23.72
2021-01-03 17:00:00,54.5,66.25,0.62,53.95,14.02,12.73
2021-01-03 18:00:00,63.5,74.5,0.72,51.4,13.25,11.18
2021-01-03 19:00:00,70.5,80.5,0.9,56.08,12.25,4.9
2021-01-03 20:00:00,79.5,87.5,0.95,45.22,9.65,8.2
2021-01-03 21:00:00,82.25,92.75,1.1,48.68,9.15,2.6
2021-01-03 22:00:00,79.25,87.25,1.08,46.25,8.72,2.5
2021-01-03 23:00:00,84.0,90.5,0.88,44.28,8.85,2.62
2021-01-04 00:00:00,77.0,87.0,0.78,41.58,11.05,2.3
2021-01-04 01:00:00,71.25,80.0,0.68,38.9,11.15,3.7
2021-01-04 02:00:00,65.25,78.0,0.9,32.8,10.7,2.92
2021-01-04 03:00:00,72.75,83.5,0.88,34.05,9.72,2.85
2021-01-04 04:00:00,74.25,93.25,0.7,37.22,9.77,2.58
2021-01-04 05:00:00,72.5,108.0,0.68,35.78,10.42,3.22
2021-01-04 06:00:00,70.0,118.75,0.55,37.9,9.77,4.03
2021-01-04 07:00:00,58.75,81.5,0.65,39.97,10.98,3.88
2021-01-04 08:00:00,64.25,96.25,0.85,44.58,10.82,3.95
2021-01-04 09:00:00,71.5,114.25,0.88,44.95,10.68,5.25
2021-01-04 10:00:00,67.25,101.25,0.8,55.42,10.9,10.58
2021-01-04 11:00:00,82.5,105.75,0.85,67.22,10.22,23.67
2021-01-04 12:00:00,99.25,141.5,0.85,77.85,8.7,32.17
2021-01-04 13:00:00,106.75,174.5,1.2,94.78,9.85,35.25
2021-01-04 14:00:00,127.25,215.75,1.2,99.08,10.12,43.45
2021-01-04 15:00:00,139.5,245.0,1.55,105.35,14.38,47.28
2021-01-04 16:00:00,172.75,313.75,1.52,106.98,12.65,23.28
2021-01-04 17:00:00,182.0,279.75,2.33,115.68,13.02,8.83
2021-01-04 18:00:00,202.5,259.5,1.02,70.2,11.72,13.7
2021-01-04 19:00:00,129.0,150.75,0.55,43.15,9.02,31.58
2021-01-04 20:00:00,75.0,81.0,0.45,40.05,9.2,37.03
2021-01-04 21:00:00,50.0,62.0,0.45,37.9,8.82,39.72
2021-01-04 22:00:00,45.75,56.25,0.3,34.17,9.35,40.45
2021-01-04 23:00:00,33.5,39.0,0.4,37.7,9.15,24.2
2021-01-05 00:00:00,34.75,40.25,0.38,33.1,9.05,27.58
2021-01-05 01:00:00,35.25,44.25,0.35,40.62,8.43,20.7
2021-01-05 02:00:00,40.25,46.5,0.3,46.1,7.4,16.6
2021-01-05 03:00:00,43.0,50.0,0.3,47.28,7.12,8.98
2021-01-05 04:00:00,37.5,45.25,0.22,38.25,8.8,24.85
2021-01-05 05:00:00,27.25,36.25,0.22,34.95,8.98,27.72
2021-01-05 06:00:00,22.5,27.5,0.38,48.35,10.1,11.5
2021-01-05 07:00:00,34.25,39.0,0.52,51.28,10.6,8.55
2021-01-05 08:00:00,42.25,55.5,0.78,46.4,11.55,4.28
2021-01-05 09:00:00,58.5,73.0,1.0,46.32,10.98,5.62
2021-01-05 10:00:00,73.25,89.5,1.2,50.15,11.0,7.2
2021-01-05 11:00:00,88.75,106.5,1.0,54.15,11.15,10.45
2021-01-05 12:00:00,99.5,125.5,1.05,68.68,10.7,20.95
2021-01-05 13:00:00,111.0,157.75,1.23,74.97,11.8,29.22
2021-01-05 14:00:00,127.0,183.5,1.48,76.62,12.27,23.55
2021-01-05 15:00:00,135.25,197.0,1.08,59.08,12.18,25.95
2021-01-05 16:00:00,108.75,167.75,0.68,42.2,12.92,20.72
2021-01-05 17:00:00,66.0,108.5,0.77,46.05,12.98,13.6
2021-01-05 18:00:00,82.75,118.25,1.12,53.42,12.23,7.45
2021-01-05 19:00:00,100.5,127.0,0.98,58.25,11.92,6.7
2021-01-05 20:00:00,82.5,103.25,0.9,59.62,10.27,9.88
2021-01-05 21:00:00,82.25,100.25,1.42,59.5,11.82,27.38
2021-01-05 22:00:00,92.5,116.75,1.58,53.85,13.8,25.85
2021-01-05 23:00:00,86.0,119.5,1.6,46.92,14.45,12.58
2021-01-06 00:00:00,85.5,116.5,0.98,47.35,11.78,5.25
2021-01-06 01:00:00,76.0,102.75,0.68,47.35,9.7,6.1
2021-01-06 02:00:00,81.75,103.0,0.6,43.3,8.5,5.72
2021-01-06 03:00:00,90.5,106.5,0.65,41.75,8.3,4.93
2021-01-06 04:00:00,91.5,109.5,0.9,38.05,9.43,5.35
