Time Stamp,PM2.5,PM10,CO,NO2,SO2,Ozone
2018-01-01 00:00:00,268.57,440.65,1.22,25.75,,41.2
2018-01-01 01:00:00,293.63,516.5,1.19,26.16,,43.19
2018-01-01 02:00:00,362.7,496.19,1.15,26.6,,45.38
2018-01-01 03:00:00,363.12,482.69,1.23,25.68,,41.2
2018-01-01 04:00:00,299.17,499.17,1.33,24.56,,35.95
2018-01-01 05:00:00,259.35,391.33,1.47,23.22,,30.85
2018-01-01 06:00:00,218.96,305.11,1.51,22.8,,29.34
2018-01-01 07:00:00,199.98,300.81,1.48,23.07,,30.26
2018-01-01 08:00:00,160.24,227.39,1.52,22.79,,29.29
2018-01-01 09:00:00,185.76,264.31,1.4,24.04,,35.87
2018-01-01 10:00:00,225.02,314.41,1.37,24.14,,34.32
2018-01-01 11:00:00,271.69,366.64,1.27,25.17,,38.65
2018-01-01 12:00:00,319.05,392.56,1.17,26.34,,44.11
2018-01-01 13:00:00,241.56,267.67,1.12,27.14,,48.63
2018-01-01 14:00:00,149.34,216.44,1.09,27.54,,50.83
2018-01-01 15:00:00,134.26,188.98,1.08,27.61,,51.27
2018-01-01 16:00:00,115.96,183.4,1.17,26.5,,45.68
2018-01-01 17:00:00,313.59,403.74,1.23,25.63,,40.67
2018-01-01 18:00:00,378.9,540.28,1.25,25.42,,39.69
2018-01-01 19:00:00,360.27,447.92,1.26,25.26,,38.94
2018-01-01 20:00:00,322.04,459.99,1.2,26.04,,42.57
2018-01-01 21:00:00,320.07,530.35,1.14,26.77,,46.28
2018-01-01 22:00:00,328.35,521.67,1.12,27.03,,47.73
2018-01-01 23:00:00,432.27,559.41,1.22,25.86,,42.28
2018-01-02 00:00:00,265.64,400.52,1.58,22.31,,27.68
2018-01-02 01:00:00,171.83,300.41,1.53,22.65,,28.82
2018-01-02 02:00:00,168.44,320.78,1.64,21.84,,26.24
2018-01-02 03:00:00,177.39,374.82,1.53,22.69,,28.95
2018-01-02 04:00:00,203.58,553.71,1.53,22.7,,28.98
2018-01-02 05:00:00,248.78,495.53,1.57,22.37,,27.88
2018-01-02 06:00:00,229.67,434.4,1.58,22.26,,27.52
2018-01-02 07:00:00,197.15,357.06,1.65,21.73,,25.84
2018-01-02 08:00:00,181.12,368.03,1.63,21.92,,26.44
2018-01-02 09:00:00,194.15,351.89,1.5,23.2,,32.06
2018-01-02 10:00:00,205.27,374.32,1.46,23.28,,31.09
2018-01-02 11:00:00,209.1,324.98,1.39,23.98,,33.67
2018-01-02 12:00:00,208.77,306.97,1.31,24.77,,36.93
2018-01-02 13:00:00,251.59,289.78,1.23,25.61,,40.66
2018-01-02 14:00:00,215.24,278.92,1.16,26.56,,45.49
2018-01-02 15:00:00,181.07,294.0,1.17,26.35,,44.39
2018-01-02 16:00:00,163.31,265.11,1.26,25.36,,39.75
2018-01-02 17:00:00,202.99,300.87,1.54,22.59,,28.7
2018-01-02 18:00:00,190.82,302.27,1.53,22.65,,28.82
2018-01-02 19:00:00,211.29,360.7,1.35,24.37,,35.24
2018-01-02 20:00:00,310.31,512.52,1.25,25.48,,40.26
2018-01-02 21:00:00,333.28,531.52,1.14,26.74,,46.29
2018-01-02 22:00:00,294.11,443.11,1.29,24.94,,37.54
2018-01-02 23:00:00,200.74,351.7,1.42,23.64,,32.34
2018-01-03 00:00:00,197.83,420.13,1.41,23.71,,32.61
2018-01-03 01:00:00,150.91,319.13,1.56,22.39,,27.92
2018-01-03 02:00:00,179.78,264.97,1.65,21.75,,25.9
2018-01-03 03:00:00,146.96,222.34,1.64,21.82,,26.12
2018-01-03 04:00:00,133.97,223.08,1.64,21.8,,26.05
2018-01-03 05:00:00,133.79,227.43,1.72,21.24,,24.37
2018-01-03 06:00:00,140.75,206.21,1.77,20.91,,23.39
2018-01-03 07:00:00,119.71,166.6,1.77,20.92,,23.42
2018-01-03 08:00:00,121.07,173.14,1.72,21.24,,24.35
2018-01-03 09:00:00,147.85,210.77,1.46,23.65,,34.44
2018-01-03 10:00:00,169.14,233.45,1.4,23.85,,33.16
2018-01-03 11:00:00,196.8,274.56,1.35,24.33,,35.06
2018-01-03 12:00:00,203.75,279.15,1.29,24.98,,37.76
2018-01-03 13:00:00,176.25,295.38,1.27,25.25,,39.14
2018-01-03 14:00:00,164.95,291.3,1.21,25.94,,42.31
2018-01-03 15:00:00,218.29,272.45,1.19,26.13,,43.16
2018-01-03 16:00:00,202.71,282.15,1.24,25.6,,40.71
2018-01-03 17:00:00,206.88,306.7,1.46,23.33,,31.31
2018-01-03 18:00:00,199.51,305.62,1.53,22.68,,28.91
2018-01-03 19:00:00,242.05,435.68,1.45,23.32,,31.16
2018-01-03 20:00:00,160.82,297.13,1.48,23.12,,30.45
2018-01-03 21:00:00,139.53,237.05,1.56,22.41,,28.03
2018-01-03 22:00:00,142.96,232.67,1.48,23.09,,30.34
2018-01-03 23:00:00,216.98,282.85,1.51,22.91,,29.91
2018-01-04 00:00:00,143.85,263.3,1.63,21.91,,26.38
2018-01-04 01:00:00,106.35,186.6,1.74,21.18,,24.2
2018-01-04 02:00:00,73.89,130.78,1.89,20.23,,21.55
2018-01-04 03:00:00,75.24,139.16,1.77,20.91,,23.4
2018-01-04 04:00:00,82.71,139.95,1.84,20.53,,22.33
2018-01-04 05:00:00,89.78,133.71,1.9,20.14,,21.27
2018-01-04 06:00:00,86.11,133.57,1.93,20.01,,20.91
2018-01-04 07:00:00,81.38,122.65,1.88,20.29,,21.67
2018-01-04 08:00:00,77.42,121.61,1.86,20.41,,21.98
2018-01-04 09:00:00,99.57,156.06,1.52,22.91,,30.31
2018-01-04 10:00:00,127.8,199.85,1.5,22.99,,30.07
2018-01-04 11:00:00,174.8,210.59,1.22,25.83,,42.22
2018-01-04 12:00:00,255.72,316.77,1.07,27.77,,52.19
2018-01-04 13:00:00,217.62,287.44,0.98,29.24,,62.07
2018-01-04 14:00:00,177.52,292.69,1.03,28.48,,57.08
2018-01-04 15:00:00,265.09,457.36,0.99,28.98,,60.44
2018-01-04 16:00:00,335.59,444.15,1.05,28.1,,54.1
2018-01-04 17:00:00,261.05,371.13,1.3,24.83,,37.2
2018-01-04 18:00:00,234.54,404.55,1.35,24.36,,35.11
2018-01-04 19:00:00,235.31,414.08,1.31,24.75,,36.77
2018-01-04 20:00:00,224.19,355.74,1.3,24.84,,37.13
2018-01-04 21:00:00,275.57,362.1,1.26,25.3,,39.11
2018-01-04 22:00:00,285.71,405.01,1.21,25.97,,42.55
2018-01-04 23:00:00,302.15,436.17,1.26,25.26,,39.02
2018-01-05 00:00:00,225.98,319.32,1.4,23.82,,33.05
2018-01-05 01:00:00,164.76,262.19,1.49,23.03,,30.13
2018-01-05 02:00:00,153.54,263.84,1.55,22.49,,28.29
2018-01-05 03:00:00,172.88,311.57,1.58,22.25,,27.49
2018-01-05 04:00:00,178.71,276.47,1.65,21.77,,25.96
2018-01-05 05:00:00,158.25,249.93,1.68,21.55,,25.27
2018-01-05 06:00:00,163.75,258.62,1.7,21.42,,24.9
2018-01-05 07:00:00,144.09,229.19,1.71,21.35,,24.69
2018-01-05 08:00:00,147.39,228.94,1.64,21.85,,26.2
2018-01-05 09:00:00,157.45,225.42,1.52,22.73,,29.12
2018-01-05 10:00:00,194.99,239.43,1.4,23.85,,33.18
2018-01-05 11:00:00,189.53,251.46,1.26,25.32,,39.27
2018-01-05 12:00:00,155.96,226.68,1.17,26.39,,44.46
2018-01-05 13:00:00,111.55,228.38,1.21,25.93,,42.15
2018-01-05 14:00:00,78.05,175.22,1.26,25.39,,39.75
2018-01-05 15:00:00,128.77,208.61,1.11,27.23,,49.34
2018-01-05 16:00:00,264.35,373.13,1.24,25.61,,40.76
2018-01-05 17:00:00,211.34,324.86,1.41,23.79,,33.19
2018-01-05 18:00:00,197.54,320.07,1.46,23.27,,31.0
2018-01-05 19:00:00,226.56,387.2,1.33,24.5,,35.74
2018-01-05 20:00:00,214.94,345.82,1.36,24.22,,34.58
2018-01-05 21:00:00,234.71,361.55,1.29,24.96,,37.66
2018-01-05 22:00:00,268.89,343.36,1.36,24.26,,35.1
2018-01-05 23:00:00,274.39,400.63,1.24,25.52,,40.13
2018-01-06 00:00:00,252.01,356.16,1.36,24.21,,34.53
2018-01-06 01:00:00,177.62,288.39,1.47,23.22,,30.88
2018-01-06 02:00:00,128.09,273.53,1.47,23.16,,30.58
2018-01-06 03:00:00,185.18,280.57,1.46,23.3,,31.11
2018-01-06 04:00:00,189.71,296.64,1.44,23.43,,31.56
2018-01-06 05:00:00,184.01,294.29,1.47,23.15,,30.58
2018-01-06 06:00:00,196.86,294.3,1.49,23.01,,30.09
2018-01-06 07:00:00,195.04,264.0,1.59,22.22,,27.41
2018-01-06 08:00:00,145.64,195.54,1.64,21.83,,26.15
2018-01-06 09:00:00,148.18,220.64,1.57,22.43,,28.25
2018-01-06 10:00:00,150.08,214.56,1.53,22.76,,29.61
2018-01-06 11:00:00,180.25,205.38,1.45,23.41,,31.54
2018-01-06 12:00:00,205.64,296.1,1.15,26.65,,45.89
2018-01-06 13:00:00,265.12,379.08,1.04,28.25,,55.16
2018-01-06 14:00:00,247.76,299.48,1.06,28.0,,54.13
2018-01-06 15:00:00,194.75,275.89,1.03,28.47,,56.94
2018-01-06 16:00:00,139.06,210.15,1.22,25.91,,42.51
2018-01-06 17:00:00,100.45,175.35,1.72,21.37,,24.91
2018-01-06 18:00:00,109.86,208.15,1.7,21.43,,24.93
2018-01-06 19:00:00,155.91,328.48,1.45,23.35,,31.31
2018-01-06 20:00:00,209.62,367.34,1.26,25.32,,39.25
2018-01-06 21:00:00,262.26,390.38,1.25,25.42,,39.69
2018-01-06 22:00:00,338.64,403.56,1.22,25.8,,41.48
2018-01-06 23:00:00,272.55,390.98,1.37,24.1,,34.1
2018-01-07 00:00:00,224.82,337.58,1.33,24.51,,35.81
2018-01-07 01:00:00,258.84,365.4,1.45,23.4,,31.53
2018-01-07 02:00:00,165.36,239.48,1.59,22.18,,27.25
2018-01-07 03:00:00,137.59,198.66,1.56,22.45,,28.2
2018-01-07 04:00:00,219.8,273.14,1.5,22.93,,29.78
2018-01-07 05:00:00,217.81,347.04,1.53,22.64,,28.77
2018-01-07 06:00:00,220.46,331.96,1.61,22.01,,26.7
2018-01-07 07:00:00,170.13,275.19,1.64,21.81,,26.09
2018-01-07 08:00:00,134.11,212.4,1.68,21.57,,25.36
2018-01-07 09:00:00,85.84,138.32,1.51,22.84,,29.53
2018-01-07 10:00:00,95.89,111.95,1.3,24.92,,37.58
2018-01-07 11:00:00,114.08,149.9,1.2,26.03,,42.78
2018-01-07 12:00:00,86.44,121.82,1.17,26.43,,44.7
2018-01-07 13:00:00,42.6,105.68,1.15,26.63,,45.83
2018-01-07 14:00:00,40.65,109.87,1.11,27.25,,49.07
2018-01-07 15:00:00,48.39,129.37,1.05,27.98,,53.34
2018-01-07 16:00:00,49.99,158.18,1.12,27.06,,48.14
2018-01-07 17:00:00,55.93,153.86,1.41,23.91,,33.91
2018-01-07 18:00:00,71.98,177.95,1.56,22.58,,28.9
2018-01-07 19:00:00,146.81,301.28,1.52,22.73,,29.09
2018-01-07 20:00:00,251.42,325.09,1.45,23.34,,31.23
